time, x_ref, y_ref, heading_ref, v_ref, steering_ref
3.57, 15.5295, 3.50307, -0.745449, 5, -0.416282
3.58, 15.573, 3.46256, -0.754126, 5, -0.402389
3.59, 15.6165, 3.42136, -0.762476, 5, -0.388579
3.6, 15.66, 3.37947, -0.770504, 5, -0.374864
3.61, 15.7035, 3.33691, -0.778216, 5, -0.361251
3.62, 15.747, 3.29371, -0.785619, 5, -0.347746
3.63, 15.7905, 3.24988, -0.792717, 5, -0.334355
3.64, 15.834, 3.20544, -0.799517, 5, -0.321084
3.65, 15.8775, 3.1604, -0.806023, 5, -0.307935
3.66, 15.921, 3.11478, -0.81224, 5, -0.29491
3.67, 15.9645, 3.0686, -0.818175, 5, -0.282012
3.68, 16.008, 3.02189, -0.823831, 5, -0.269239
3.69, 16.0515, 2.97465, -0.829214, 5, -0.256592
3.7, 16.095, 2.92691, -0.834328, 5, -0.244068
3.71, 16.1385, 2.8787, -0.839177, 5, -0.231667
3.72, 16.182, 2.83002, -0.843765, 5, -0.219385
3.73, 16.2255, 2.78091, -0.848097, 5, -0.207217
3.74, 16.269, 2.73137, -0.852176, 5, -0.195162
3.75, 16.3125, 2.68144, -0.856005, 5, -0.183212
3.76, 16.356, 2.63114, -0.859588, 5, -0.171364
3.77, 16.3995, 2.58048, -0.862929, 5, -0.159611
3.78, 16.443, 2.52949, -0.866029, 5, -0.147947
3.79, 16.4865, 2.47819, -0.868891, 5, -0.136366
3.8, 16.53, 2.4266, -0.871518, 5, -0.12486
3.81, 16.5735, 2.37476, -0.873912, 5, -0.113423
3.82, 16.617, 2.32267, -0.876075, 5, -0.102047
3.83, 16.6605, 2.27036, -0.878009, 5, -0.0907238
3.84, 16.704, 2.21786, -0.879715, 5, -0.0794456
3.85, 16.7475, 2.16519, -0.881194, 5, -0.068204
3.86, 16.791, 2.11237, -0.882447, 5, -0.0569906
3.87, 16.8345, 2.05943, -0.883476, 5, -0.0457966
3.88, 16.878, 2.00639, -0.884281, 5, -0.0346131
3.89, 16.9215, 1.95327, -0.884861, 5, -0.0234312
3.9, 16.965, 1.90011, -0.885218, 5, -0.0122417
3.91, 17.0085, 1.84692, -0.885351, 5, -0.00103537
3.92, 17.052, 1.79372, -0.885259, 5, 0.0101972
3.93, 17.0955, 1.74055, -0.884943, 5, 0.0214655
